device_id,hostname_y,datetime,Jam,Hari,type_x,severity,hardware,message,os
48,10.246.88.18,2026-06-07 01:17:02,1,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 01:17:02,1,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 01:17:02,1,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 01:17:02,1,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 01:17:02,1,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 01:17:02,1,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 01:17:02,1,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
33,117.103.68.166,2026-06-07 01:22:51,1,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4290 rpm (< 5232 rpm),routeros
33,117.103.68.166,2026-06-07 01:22:51,1,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4065 rpm (< 4860 rpm),routeros
21,10.246.15.202,2026-06-07 01:23:07,1,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2558 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 01:47:07,1,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 01:47:07,1,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 01:47:07,1,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 01:47:07,1,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 01:47:07,1,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 01:47:07,1,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 01:47:07,1,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
48,10.246.88.18,2026-06-07 02:17:12,2,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 02:17:12,2,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 02:17:12,2,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 02:17:12,2,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 02:17:12,2,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 02:17:12,2,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 02:17:12,2,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 02:28:11,2,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2684 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 02:47:15,2,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 02:47:15,2,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 02:47:15,2,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 02:47:15,2,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 02:47:15,2,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 02:47:15,2,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 02:47:15,2,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 02:48:14,2,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2630 rpm (< 2754.4 rpm),routeros
33,117.103.68.166,2026-06-07 02:57:59,2,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4305 rpm (< 5232 rpm),routeros
33,117.103.68.166,2026-06-07 02:57:59,2,Sunday,fanspeed,4,CCR1036-8G-2S+,Fanspeed under threshold: 4065 rpm (< 4860 rpm),routeros
33,117.103.68.166,2026-06-07 03:08:05,3,Sunday,interface,3,CCR1036-8G-2S+,ifDescr:  -> <sstp-bandung>,routeros
33,117.103.68.166,2026-06-07 03:08:05,3,Sunday,interface,3,CCR1036-8G-2S+,ifAlias:  -> <sstp-bandung>,routeros
33,117.103.68.166,2026-06-07 03:08:05,3,Sunday,interface,3,CCR1036-8G-2S+,ifAdminStatus:  -> up,routeros
33,117.103.68.166,2026-06-07 03:08:05,3,Sunday,interface,3,CCR1036-8G-2S+,ifOperStatus:  -> up,routeros
33,117.103.68.166,2026-06-07 03:08:05,3,Sunday,interface,3,CCR1036-8G-2S+,ifMtu:  -> 1500,routeros
